0, 7324, 7770, 8194
1, 7372, 7692, 8072
2, 7244, 7648, 8170
3, 7248, 7606, 8054
4, 7172, 7574, 7962
5, 7260, 7552, 7952
6, 7172, 7526, 7986
7, 7232, 7518, 7934
8, 7200, 7494, 8014
9, 7194, 7496, 8040
10, 7148, 7490, 7990
11, 7144, 7458, 7944
12, 7154, 7476, 7988
13, 7128, 7466, 8036
14, 7124, 7462, 8012
15, 7154, 7460, 7896
16, 7142, 7446, 7964
17, 7070, 7430, 7848
18, 7094, 7432, 7992
19, 7094, 7428, 7992
20, 7110, 7418, 7968
21, 7066, 7398, 7892
22, 7112, 7390, 7902
23, 7112, 7378, 7930
24, 7086, 7364, 7902
25, 7092, 7370, 7894
26, 7086, 7346, 7906
27, 7064, 7362, 7974
28, 7050, 7344, 8026
29, 7054, 7364, 7944
30, 7080, 7326, 8000
31, 7066, 7368, 7960
32, 7066, 7362, 7920
33, 7052, 7348, 7912
34, 7070, 7338, 7980
35, 7070, 7342, 7934
36, 7062, 7384, 8056
37, 7070, 7350, 7924
38, 7054, 7340, 7956
39, 7034, 7320, 7964
40, 7034, 7304, 7850
41, 7058, 7314, 7866
42, 7036, 7292, 7990
43, 7052, 7288, 7854
44, 7030, 7290, 7862
45, 7036, 7286, 8004
46, 7048, 7326, 7920
47, 7022, 7308, 7956
48, 7044, 7306, 7888
49, 7044, 7288, 7844
50, 7036, 7288, 7934
51, 7036, 7282, 7892
52, 7036, 7334, 8024
53, 7044, 7312, 7946
54, 7066, 7314, 7906
55, 7052, 7348, 7866
56, 7052, 7316, 7904
57, 7038, 7298, 7850
58, 7040, 7296, 7978
59, 7048, 7300, 7794
60, 7050, 7298, 7890
61, 7036, 7292, 7974
62, 7034, 7272, 7818
63, 7048, 7284, 7930
64, 7040, 7294, 7882
65, 7046, 7290, 7894
66, 7048, 7296, 8070
67, 7038, 7286, 7880
68, 7036, 7298, 7906
69, 7008, 7286, 7914
70, 7024, 7276, 7904
71, 7030, 7276, 7862
72, 7032, 7292, 7910
73, 7022, 7292, 8020
74, 7036, 7282, 8086
75, 7036, 7296, 8076
76, 7036, 7306, 7862
77, 7036, 7278, 7892
78, 7034, 7272, 7980
79, 7030, 7272, 7902
80, 7040, 7276, 7818
81, 7024, 7254, 7902
82, 7038, 7250, 7876
83, 7030, 7262, 7836
84, 7016, 7298, 7876
85, 7022, 7292, 7866
86, 7042, 7270, 7886
87, 7028, 7272, 7974
88, 7038, 7298, 8000
89, 7040, 7318, 7886
90, 7024, 7292, 7912
91, 7036, 7302, 7948
92, 7020, 7268, 7852
93, 7030, 7284, 7920
94, 7036, 7258, 7812
95, 7016, 7270, 7884
96, 7028, 7276, 7822
97, 7018, 7294, 7922
98, 7016, 7272, 7850
99, 7020, 7272, 8036
100, 7024, 7270, 7896
