<0, 7416, 7764, 8104>
<1, 7324, 7700, 8038>
<2, 7324, 7662, 8012>
<3, 7342, 7620, 7968>
<4, 7314, 7600, 7936>
<5, 7262, 7584, 8034>
<6, 7288, 7572, 8016>
<7, 7260, 7556, 7834>
<8, 7260, 7534, 8012>
<9, 7280, 7526, 7932>
<10, 7252, 7504, 7814>
<11, 7248, 7508, 7880>
<12, 7242, 7508, 7932>
<13, 7242, 7496, 7822>
<14, 7184, 7474, 7862>
<15, 7216, 7460, 7874>
<16, 7132, 7442, 7812>
<17, 7130, 7412, 7860>
<18, 7130, 7390, 7748>
<19, 7128, 7378, 7812>
<20, 7108, 7372, 7876>
<21, 7092, 7356, 7708>
<22, 7078, 7342, 7794>
<23, 7096, 7330, 7794>
<24, 7070, 7314, 7830>
<25, 7058, 7292, 7638>
<26, 7058, 7282, 7850>
<27, 7044, 7268, 7776>
<28, 7072, 7264, 7658>
<29, 7046, 7250, 7684>
<30, 7036, 7246, 7696>
<31, 7026, 7244, 7766>
<32, 7012, 7222, 7766>
<33, 7040, 7214, 7758>
<34, 7000, 7202, 7708>
<35, 7000, 7188, 7720>
<36, 7000, 7188, 7724>
<37, 7000, 7160, 7750>
<38, 6992, 7150, 7712>
<39, 6992, 7158, 7764>
<40, 6996, 7160, 7720>
<41, 6996, 7160, 7762>
<42, 6982, 7166, 7818>
<43, 6996, 7156, 7650>
<44, 6982, 7156, 7620>
<45, 6990, 7138, 7620>
<46, 6988, 7122, 7592>
<47, 6960, 7098, 7568>
<48, 6974, 7090, 7562>
<49, 6974, 7094, 7536>
<50, 6974, 7086, 7498>
<51, 6966, 7094, 7502>
<52, 6966, 7082, 7570>
<53, 6960, 7064, 7640>
<54, 6956, 7060, 7524>
<55, 6948, 7060, 7550>
<56, 6956, 7064, 7526>
<57, 6956, 7058, 7542>
<58, 6950, 7052, 7470>
<59, 6940, 7046, 7576>
<60, 6938, 7034, 7582>
<61, 6938, 7036, 7552>
<62, 6938, 7040, 7552>
<63, 6948, 7056, 7510>
<64, 6954, 7066, 7532>
<65, 6946, 7078, 7636>
<66, 6938, 7046, 7550>
<67, 6944, 7024, 7632>
<68, 6940, 7020, 7642>
<69, 6940, 7026, 7646>
<70, 6938, 7014, 7622>
<71, 6932, 7002, 7544>
<72, 6932, 7004, 7576>
<73, 6932, 7000, 7516>
<74, 6930, 6990, 7524>
<75, 6930, 6990, 7492>
<76, 6930, 6990, 7420>
<77, 6932, 6998, 7532>
<78, 6932, 7012, 7460>
<79, 6930, 7006, 7510>
<80, 6928, 6990, 7612>
<81, 6928, 6984, 7632>
<82, 6928, 6984, 7586>
<83, 6928, 6988, 7496>
<84, 6928, 6990, 7724>
<85, 6928, 6978, 7522>
<86, 6928, 6976, 7580>
<87, 6928, 6974, 7462>
<88, 6928, 6974, 7464>
<89, 6928, 6972, 7392>
<90, 6928, 6968, 7456>
<91, 6928, 6974, 7438>
<92, 6928, 7010, 7492>
<93, 6928, 6960, 7650>
<94, 6928, 6968, 7640>
<95, 6928, 6958, 7532>
<96, 6928, 6958, 7600>
<97, 6928, 6960, 7480>
<98, 6928, 6964, 7440>
<99, 6928, 6966, 7388>
<100, 6928, 6970, 7434>
<101, 6928, 6958, 7452>
<102, 6928, 6964, 7612>
<103, 6928, 6966, 7482>
<104, 6928, 6964, 7466>
<105, 6928, 6958, 7468>
<106, 6928, 6958, 7446>
<107, 6928, 6960, 7478>
<108, 6928, 6968, 7604>
<109, 6928, 6968, 7642>
<110, 6928, 6964, 7630>
<111, 6928, 6960, 7552>
<112, 6928, 6966, 7486>
<113, 6928, 6960, 7502>
<114, 6928, 6956, 7484>
<115, 6928, 6948, 7574>
<116, 6928, 6948, 7470>
<117, 6928, 6956, 7562>
<118, 6928, 6952, 7570>
<119, 6928, 6952, 7440>
<120, 6928, 6956, 7458>
<121, 6928, 6952, 7442>
<122, 6928, 6964, 7418>
<123, 6928, 6964, 7392>
<124, 6928, 6964, 7418>
<125, 6928, 6964, 7418>
<126, 6928, 6964, 7588>
<127, 6928, 6942, 7576>
<128, 6928, 6942, 7750>
<129, 6928, 6942, 7744>
<130, 6928, 6942, 7626>
<131, 6928, 6956, 7544>
<132, 6928, 6960, 7464>
<133, 6928, 6972, 7462>
<134, 6928, 6972, 7446>
<135, 6928, 6956, 7544>
<136, 6928, 6952, 7620>
<137, 6928, 6952, 7510>
<138, 6928, 6944, 7598>
<139, 6928, 6944, 7504>
<140, 6928, 6944, 7398>
<141, 6928, 6970, 7398>
<142, 6928, 6974, 7388>
<143, 6928, 6942, 7424>
<144, 6928, 6942, 7428>
<145, 6928, 6954, 7632>
<146, 6928, 6954, 7524>
<147, 6928, 6970, 7324>
<148, 6928, 7004, 7394>
<149, 6928, 6984, 7392>
<150, 6928, 6972, 7464>
<151, 6928, 6980, 7340>
<152, 6928, 6984, 7464>
<153, 6928, 6984, 7390>
<154, 6928, 7068, 7468>
<155, 6928, 6984, 7428>
<156, 6928, 6964, 7572>
<157, 6928, 6956, 7508>
<158, 6928, 6964, 7566>
<159, 6928, 6968, 7572>
<160, 6928, 7052, 7496>
<161, 6928, 7030, 7626>
<162, 6928, 6988, 7566>
<163, 6928, 6984, 7682>
<164, 6928, 6984, 7322>
<165, 6928, 6984, 7626>
<166, 6928, 6964, 7462>
<167, 6928, 6960, 7426>
<168, 6928, 6960, 7488>
<169, 6928, 6960, 7300>
<170, 6928, 6960, 7516>
<171, 6928, 6962, 7384>
<172, 6928, 6952, 7544>
<173, 6928, 6972, 7540>
<174, 6928, 6956, 7572>
<175, 6928, 6972, 7652>
<176, 6928, 6972, 7516>
<177, 6928, 6988, 7546>
<178, 6928, 6984, 7416>
<179, 6928, 6980, 7516>
<180, 6928, 6980, 7432>
<181, 6928, 6976, 7462>
<182, 6928, 6980, 7846>
<183, 6928, 6980, 7602>
